step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,2064,16,0.09016727845413328,0.0,0.0,0.07216246078409624,0.0,0.0,,
2,4128,32,0.07074933526870253,0.0,0.0,,,,,
3,6192,48,0.05401487554365247,0.0,0.0,,,,,
4,8256,64,0.04158644704043525,0.1875,0.1875,,,,,
5,10320,80,0.0362830314827221,0.0625,0.0625,,,,,
6,12384,96,0.03300690052693909,0.0625,0.0625,,,,,
7,14448,112,0.02870479485139697,0.375,0.375,,,,,
8,16512,128,0.0314044802396387,0.3125,0.3125,,,,,
9,18576,144,0.02848383976667321,0.5,0.5,0.02875848118532417,0.1875,0.1875,,
10,20640,160,0.029794462472271445,0.25,0.25,,,,,
11,22704,176,0.027895226557006936,0.3125,0.3125,,,,,
12,24768,192,0.026776626120995954,0.4375,0.4375,,,,,
13,26832,208,0.02690871665915097,0.25,0.25,,,,,
14,28896,224,0.025924083549741683,0.375,0.375,,,,,
15,30960,240,0.024895564485454998,0.1875,0.1875,,,,,
16,33024,256,0.023927963964284232,0.375,0.375,,,,,
17,35088,272,0.022790845428361874,0.4375,0.4375,0.024491118935216036,0.375,0.375,,
18,37152,288,0.024701423219363222,0.5,0.5,,,,,
19,39216,304,0.021063724060195455,0.625,0.625,,,,,
20,41280,320,0.01883395451096533,0.5625,0.5625,,,,,
21,43344,336,0.020384191842219505,0.5625,0.5625,,,,,
22,45408,352,0.01712487880715969,0.6875,0.6875,,,,,
23,47472,368,0.01967320500705796,0.625,0.625,,,,,
24,49536,384,0.01912031627039923,0.4375,0.4375,,,,,
25,51600,400,0.016796224056036667,0.5,0.5,0.018110612193813297,0.5,0.5,,
26,53664,416,0.016673491115735146,0.6875,0.6875,,,,,
27,55728,432,0.018567893822343605,0.5625,0.5625,,,,,
28,57792,448,0.012742469491181012,0.75,0.75,,,,,
29,59856,464,0.014009471896776803,0.75,0.75,,,,,
30,61920,480,0.01143580309518228,0.875,0.875,,,,,
31,63984,496,0.01742565572087578,0.5625,0.5625,,,,,
32,66048,512,0.020062742590826164,0.5,0.5,,,,,
33,68112,528,0.019784501064490354,0.4375,0.4375,0.017744090031460616,0.375,0.375,,
34,70176,544,0.012439124226475258,0.625,0.625,,,,,
35,72240,560,0.01623702098408664,0.5625,0.5625,,,,,
36,74304,576,0.013180786577441452,0.875,0.875,,,,,
37,76368,592,0.014206125402145773,0.6875,0.6875,,,,,
38,78432,608,0.016281609455962992,0.5625,0.5625,,,,,
39,80496,624,0.01226294864793463,0.75,0.75,,,,,
40,82560,640,0.0162998270372605,0.3125,0.3125,,,,,
41,84624,656,0.012325872834424857,0.6875,0.6875,0.011876736584477358,0.6875,0.6875,,
42,86688,672,0.01036247719896032,0.875,0.875,,,,,
43,88752,688,0.011068129768766964,0.6875,0.6875,,,,,
44,90816,704,0.011154988182587935,0.6875,0.6875,,,,,
45,92880,720,0.012348453682323327,0.625,0.625,,,,,
46,94944,736,0.007561417714990665,0.875,0.875,,,,,
47,97008,752,0.010321716420067115,0.75,0.75,,,,,
48,99072,768,0.008071207839316046,0.875,0.875,,,,,
49,101136,784,0.0057418277858451135,0.9375,0.9375,0.006482581525151624,0.875,0.875,,
50,103200,800,0.0071994423122023875,0.875,0.875,,,,,
51,105264,816,0.0071274958742943186,0.8125,0.8125,,,,,
52,107328,832,0.007134727868384689,0.875,0.875,,,,,
53,109392,848,0.007017577318601225,0.9375,0.9375,,,,,
54,111456,864,0.006687724101454142,0.875,0.875,,,,,
55,113520,880,0.005809307702765707,0.9375,0.9375,,,,,
56,115584,896,0.01053850465034555,0.75,0.75,,,,,
57,117648,912,0.008869831777814242,0.75,0.75,0.012769563831623396,0.75,0.75,,
58,119712,928,0.008637099742572997,0.8125,0.8125,,,,,
59,121776,944,0.013408118388587811,0.8125,0.8125,,,,,
60,123840,960,0.0050618366613329815,1.0,1.0,,,,,
61,125904,976,0.008936582042797092,0.75,0.75,,,,,
